site-8i,site-2b,site-8i,site-8j,site-4f,nCr,nFe,nNi,dE/atom,vol-ev,ene-ev
Cr,Cr,Cr,Cr,Cr,30,0,0,0.142794567,354.011489,-285.083188
Cr,Fe,Cr,Cr,Cr,28,2,0,0.1186093,352.351966,-283.430491
Cr,Ni,Cr,Cr,Cr,28,0,2,0.128495733,352.276349,-277.778124
Cr,Cr,Fe,Cr,Cr,22,8,0,0.072901333,340.70452,-277.666965
Cr,Fe,Fe,Cr,Cr,20,10,0,0.056915733,338.2211,-275.768278
Cr,Ni,Fe,Cr,Cr,20,8,2,0.0661225,338.264656,-270.136301
Cr,Cr,Ni,Cr,Cr,22,0,8,0.088645567,345.231554,-255.771542
Cr,Fe,Ni,Cr,Cr,20,2,8,0.078295733,341.953173,-253.703782
Cr,Ni,Ni,Cr,Cr,20,0,10,0.084983233,341.370311,-248.147383
Cr,Cr,Cr,Cr,Fe,26,4,0,0.1844664,348.905427,-279.076523
Cr,Fe,Cr,Cr,Fe,24,6,0,0.160899,349.66444,-277.40529
Cr,Ni,Cr,Cr,Fe,24,4,2,0.1557157,351.420406,-272.205015
Cr,Cr,Fe,Cr,Fe,18,12,0,0.097847,337.411086,-272.162085
Cr,Fe,Fe,Cr,Fe,16,14,0,0.085424667,332.337325,-270.1565
Cr,Ni,Fe,Cr,Fe,16,12,2,0.093514533,333.30628,-264.55803
Cr,Cr,Ni,Cr,Fe,18,4,8,0.115502967,339.183163,-250.20931
Cr,Fe,Ni,Cr,Fe,16,6,8,0.122186267,337.95507,-247.630556
Cr,Ni,Ni,Cr,Fe,16,4,10,0.1268651,337.158216,-242.134417
Cr,Cr,Cr,Cr,Ni,26,0,4,0.201567567,353.157526,-267.85194
Cr,Fe,Cr,Cr,Ni,24,2,4,0.180151533,349.220672,-266.116166
Cr,Ni,Cr,Cr,Ni,24,0,6,0.175836167,349.574036,-260.889853
Cr,Cr,Fe,Cr,Ni,18,8,4,0.0989553,337.959606,-261.417288
Cr,Fe,Fe,Cr,Ni,16,10,4,0.101528333,335.901987,-258.961842
Cr,Ni,Fe,Cr,Ni,16,8,6,0.109052367,336.811035,-253.380347
Cr,Cr,Ni,Cr,Ni,18,0,12,0.114756033,342.21162,-239.52017
Cr,Fe,Ni,Cr,Ni,16,2,12,0.112736167,344.151692,-237.202511
Cr,Ni,Ni,Cr,Ni,16,0,14,0.123458633,341.495411,-231.525063
Cr,Cr,Cr,Fe,Cr,22,8,0,0.145755133,348.171268,-275.481351
Cr,Fe,Cr,Fe,Cr,20,10,0,0.126798833,345.570068,-273.671785
Cr,Ni,Cr,Fe,Cr,20,8,2,0.140229867,345.20052,-267.91308
Cr,Cr,Fe,Fe,Cr,14,16,0,0.084879933,337.410903,-267.794587
Cr,Fe,Fe,Fe,Cr,12,18,0,0.091601667,334.93469,-265.21468
Cr,Ni,Fe,Fe,Cr,12,16,2,0.089681,337.32054,-259.916526
Cr,Cr,Ni,Fe,Cr,14,8,8,0.1137523,338.83036,-245.50532
Cr,Fe,Ni,Fe,Cr,12,10,8,0.103503167,338.003459,-243.434539
Cr,Ni,Ni,Fe,Cr,12,8,10,0.088461533,340.463981,-238.530014
Cr,Cr,Cr,Fe,Fe,18,12,0,0.161955367,346.055852,-270.238834
Cr,Fe,Cr,Fe,Fe,16,14,0,0.1466712,342.10746,-268.319104
Cr,Ni,Cr,Fe,Fe,16,12,2,0.149257667,346.256351,-262.885736
Cr,Cr,Fe,Fe,Fe,10,20,0,0.074918167,342.16817,-263.33693
Cr,Fe,Fe,Fe,Fe,8,22,0,0.087382333,340.31735,-260.58475
Cr,Ni,Fe,Fe,Fe,8,20,2,0.078334133,342.787221,-255.500422
Cr,Cr,Ni,Fe,Fe,10,12,8,0.077641733,346.216425,-241.832127
Cr,Fe,Ni,Fe,Fe,8,14,8,0.057317633,347.142148,-240.063595
Cr,Ni,Ni,Fe,Fe,8,12,10,0.074777867,344.577772,-234.184014
Cr,Cr,Cr,Fe,Ni,18,8,4,0.179308867,345.143922,-259.006681
Cr,Fe,Cr,Fe,Ni,16,10,4,0.154875667,344.055531,-257.361422
Cr,Ni,Cr,Fe,Ni,16,8,6,0.161102933,344.90987,-251.81883
Cr,Cr,Fe,Fe,Ni,10,16,4,0.0912756,338.089624,-252.134659
Cr,Fe,Fe,Fe,Ni,8,18,4,0.101656233,338.981001,-249.444985
Cr,Ni,Fe,Fe,Ni,8,16,6,0.098405267,340.97107,-244.18674
